N2_T,N_T,H_T,NH3_T,NH2_T,NH_T,N2,H2,NH3,N2_S,N_S,H_S,NH3_S,NH2_S,NH_S,N_S3,time
1.893545901541782e-10,1.5561620269509948e-07,9.637413432689105e-08,1.3620088307260471e-11,1.2569806699260009e-10,2.8264685992177998e-06,0.000256669292687051,0.0007700034249918089,3.026845989608546e-07,2.586044568531151e-13,2.002611800745893e-09,2.0139087780471917e-09,4.285805996376361e-12,5.78036889459227e-08,1.021948588061339e-09,4.199471931046898e-13,0.0
1.8936068417535486e-10,1.5561621265592382e-07,9.63741593372833e-08,1.3620166396694478e-11,1.256971903706921e-10,2.8264685877690416e-06,0.00025666929264654345,0.0007700034249912249,3.026845986310123e-07,2.933382081729662e-13,2.002611958941432e-09,2.0139068762712637e-09,4.2859091372154965e-12,5.7803678955579395e-08,1.021960294704823e-09,4.1994514709010065e-13,4.574925327460733e-09
1.8936385056691828e-10,1.5561621900586227e-07,9.637417527941082e-08,1.3620215997864059e-11,1.25696641394748e-10,2.826468580530441e-06,0.0002566692926334556,0.0007700034249908535,3.02684598422106e-07,3.034638115981479e-13,2.0026120597392636e-09,2.01390566386452e-09,4.2859737050505446e-12,5.780367257705534e-08,1.0219676977051562e-09,4.1994380246594016e-13,4.6785899598944525e-09
1.893647353835619e-10,1.5561622245636274e-07,9.637418394014065e-08,1.3620242741733955e-11,1.256963552649613e-10,2.826468576670996e-06,0.00025666929264201783,0.0007700034249906526,3.0268459831026056e-07,2.941277043675845e-13,2.0026121144496213e-09,2.01390500500267e-09,4.2860073292097656e-12,5.78036690989604e-08,1.0219716464848892e-09,4.1994302203018326e-13,4.782254592328172e-09
1.8936398467997912e-10,1.5561622371887323e-07,9.637418710633984e-08,1.362025225926891e-11,1.2569626718152542e-10,2.8264685753597027e-06,0.00025666929266646046,0.0007700034249905802,3.026845982716008e-07,2.704763237201999e-13,2.002612134382739e-09,2.0139047638614234e-09,4.2860176390214204e-12,5.780366780990443e-08,1.0219729904665727e-09,4.1994266858080476e-13,4.885919224761892e-09
1.8936224451086396e-10,1.556162235048422e-07,9.637418656487574e-08,1.3620250181433705e-11,1.2569631234463426e-10,2.826468575765566e-06,0.00025666929270101485,0.0007700034249905969,3.0268459828225235e-07,2.3765610689491875e-13,2.002612130848855e-09,2.013904804616495e-09,4.286012263813778e-12,5.7803667998497495e-08,1.0219725790727593e-09,4.199426049157806e-13,4.989583857195612e-09
1.893598886856089e-10,1.5561622220726499e-07,9.637418330284716e-08,1.3620239622195973e-11,1.256964542182476e-10,2.8264685774250308e-06,0.0002566692927415723,0.0007700034249906749,3.0268459832893255e-07,1.994127296486339e-13,2.002612110099405e-09,2.013905052243324e-09,4.285995506868086e-12,5.780366927250876e-08,1.0219708860170488e-09,4.1994275826268225e-13,5.093248489629332e-09
1.8935951511538975e-10,1.5561622261554643e-07,9.637418432611526e-08,1.3620242682483373e-11,1.256964463240745e-10,2.8264685771260205e-06,0.00025666929277468406,0.0007700034249906515,3.026845983189212e-07,1.6668763891692179e-13,2.002612116440119e-09,2.0139049741778695e-09,4.285996371101468e-12,5.780366883524769e-08,1.0219711956033066e-09,4.199425597002411e-13,5.1969131220630516e-09
1.893594046780041e-10,1.5561622296156964e-07,9.63741851938984e-08,1.3620245326751275e-11,1.2569643384508234e-10,2.826468576837454e-06,0.0002566692927954893,0.0007700034249906317,3.0268459830969056e-07,1.4600396596671248e-13,2.0026121218434757e-09,2.013904908041893e-09,4.285997798035308e-12,5.7803668470398383e-08,1.0219714931299683e-09,4.1994241504262285e-13,5.300577754496771e-09
1.8935940499829308e-10,1.5561622324636506e-07,9.637418590848075e-08,1.3620247521192784e-11,1.2569641426459006e-10,2.826468576543413e-06,0.00025666929280118375,0.0007700034249906151,3.0268459830095685e-07,1.4031839507285767e-13,2.0026121263382622e-09,2.013904853648337e-09,4.2860000892022615e-12,5.780366817933083e-08,1.021971794543167e-09,4.199423340118522e-13,5.326494800783621e-09
1.893594415934952e-10,1.5561622347736733e-07,9.637418648836647e-08,1.3620249302773319e-11,1.256963860578897e-10,2.8264685762300625e-06,0.0002566692927907568,0.0007700034249906016,3.0268459829239086e-07,1.5071619259939935e-13,2.0026121300470183e-09,2.0139048095809697e-09,4.28600342592352e-12,5.780366795545087e-08,1.0219721138676408e-09,4.199423186552197e-13,5.352411847070471e-09
1.8935948018718124e-10,1.5561622366841392e-07,9.63741869681941e-08,1.3620250769250746e-11,1.2569634858982894e-10,2.8264685758850368e-06,0.0002566692927649048,0.0007700034249905906,3.0268459828361507e-07,1.7653572509279062e-13,2.0026121331865422e-09,2.0139047731950366e-09,4.286007881563871e-12,5.7803667784303026e-08,1.0219724638286387e-09,4.19942363763992e-13,5.397716051902535e-09
1.893595090236037e-10,1.5561622383975352e-07,9.637418739870157e-08,1.3620252075258694e-11,1.256963031294141e-10,2.8264685755035907e-06,0.0002566692927272854,0.0007700034249905806,3.0268459827432947e-07,2.141318417710775e-13,2.0026121360628358e-09,2.0139047406114356e-09,4.286013299819234e-12,5.7803667642556225e-08,1.021972849696219e-09,4.199424527196796e-13,5.443020256734599e-09
1.8935953188663647e-10,1.556162240180702e-07,9.637418784672516e-08,1.3620253432523785e-11,1.256962556989837e-10,2.8264685751058905e-06,0.00025666929268799657,0.0007700034249905702,3.026845982646535e-07,2.534035756319017e-13,2.0026121390569024e-09,2.013904706700365e-09,4.28601895296099e-12,5.780366749515511e-08,1.021973251998485e-09,4.1994254582661045e-13,5.488324461566663e-09
1.8935956887591017e-10,1.5561622423654327e-07,9.637418839523643e-08,1.3620255115220504e-11,1.2569622424418344e-10,2.8264685747805177e-06,0.0002566692926723139,0.0007700034249905575,3.026845982559805e-07,2.6905627244729335e-13,2.0026121425889967e-09,2.0139046650407645e-09,4.2860226818170865e-12,5.7803667288151995e-08,1.0219735830186033e-09,4.19942550932373e-13,5.533628666398727e-09
1.893596171227302e-10,1.5561622445698235e-07,9.637418894860077e-08,1.362025682035796e-11,1.2569619916700404e-10,2.826468574492669e-06,0.00025666929266459054,0.0007700034249905448,3.026845982480221e-07,2.7673849744648157e-13,2.0026121461188428e-09,2.0139046229780807e-09,4.286025645322787e-12,5.7803667072687724e-08,1.0219738765689624e-09,4.199425288668206e-13,5.578932871230791e-09
1.893596737544245e-10,1.5561622466982243e-07,9.637418948282862e-08,1.362025847279899e-11,1.2569618008654996e-10,2.826468574245911e-06,0.0002566692926633733,0.0007700034249905325,3.026845982409484e-07,2.7790589627403756e-13,2.0026121495007773e-09,2.013904582343769e-09,4.286027891090595e-12,5.7803666859566804e-08,1.0219741288330592e-09,4.199424865870997e-13,5.624237076062855e-09
1.8935972815341867e-10,1.556162248648039e-07,9.637418997223303e-08,1.3620259987424235e-11,1.256961628230672e-10,2.82646857402117e-06,0.0002566692926625188,0.000770003424990521,3.0268459823449335e-07,2.787123443252724e-13,2.002612152597835e-09,2.013904545118176e-09,4.286029922519015e-12,5.7803666664114176e-08,1.0219743586188118e-09,4.199424469672327e-13,5.669541280894919e-09
